year,party,nn,newdate,pop_2,perc
1991,Republican,11,1991-09-18,202889,0.054216837778292566
1991,Republican,10,1991-11-03,202889,0.04928803434390233
1991,Republican,8,1991-04-19,202889,0.03943042747512186
1991,Republican,6,1991-10-03,202889,0.029572820606341397
1991,Republican,3,1991-08-19,202889,0.014786410303170698
1991,Republican,7,1991-09-03,202889,0.034501624040731635
1991,Republican,3,1991-12-19,202889,0.014786410303170698
1991,Republican,4,1991-04-04,202889,0.01971521373756093
1991,Republican,6,1991-02-19,202889,0.029572820606341397
1991,Republican,4,1991-08-04,202889,0.01971521373756093
1991,Republican,8,1991-01-19,202889,0.03943042747512186
1991,Republican,4,1991-12-04,202889,0.01971521373756093
1991,Republican,9,1991-07-19,202889,0.0443592309095121
1991,Republican,5,1991-06-19,202889,0.024644017171951166
1991,Republican,6,1991-01-04,202889,0.029572820606341397
1991,Republican,6,1991-03-19,202889,0.029572820606341397
1991,Republican,6,1991-07-04,202889,0.029572820606341397
1991,Republican,7,1991-05-19,202889,0.034501624040731635
1991,Republican,3,1991-06-04,202889,0.014786410303170698
1991,Republican,13,1991-11-19,202889,0.06407444464707303
1991,Republican,4,1991-03-04,202889,0.01971521373756093
1991,Republican,11,1991-10-19,202889,0.054216837778292566
1991,Republican,7,1991-05-04,202889,0.034501624040731635
1991,Republican,4,1991-09-19,202889,0.01971521373756093
1991,Republican,7,1991-11-04,202889,0.034501624040731635
1991,Republican,6,1991-04-20,202889,0.029572820606341397
1991,Republican,13,1991-10-04,202889,0.06407444464707303
1991,Republican,8,1991-08-20,202889,0.03943042747512186
1991,Republican,4,1991-09-04,202889,0.01971521373756093
1991,Republican,4,1991-12-20,202889,0.01971521373756093
1991,Republican,5,1991-04-05,202889,0.024644017171951166
1991,Republican,5,1991-02-20,202889,0.024644017171951166
1991,Republican,13,1991-08-05,202889,0.06407444464707303
1991,Republican,3,1991-02-15,202889,0.014786410303170698
1991,Republican,5,1991-12-05,202889,0.024644017171951166
1991,Republican,4,1991-01-15,202889,0.01971521373756093
1991,Republican,2,1991-02-05,202889,0.009857606868780466
1991,Republican,4,1991-07-15,202889,0.01971521373756093
1991,Republican,4,1991-01-05,202889,0.01971521373756093
1991,Republican,6,1991-06-15,202889,0.029572820606341397
1991,Republican,10,1991-07-05,202889,0.04928803434390233
1991,Republican,6,1991-03-15,202889,0.029572820606341397
1991,Republican,4,1991-06-05,202889,0.01971521373756093
1991,Republican,10,1991-05-15,202889,0.04928803434390233
1991,Republican,8,1991-03-05,202889,0.03943042747512186
1991,Republican,10,1991-11-15,202889,0.04928803434390233
1991,Republican,7,1991-05-05,202889,0.034501624040731635
1991,Republican,6,1991-10-15,202889,0.029572820606341397
1991,Republican,9,1991-11-05,202889,0.0443592309095121
1991,Republican,9,1991-09-15,202889,0.0443592309095121
1991,Republican,4,1991-10-05,202889,0.01971521373756093
1991,Republican,4,1991-04-16,202889,0.01971521373756093
1991,Republican,7,1991-09-05,202889,0.034501624040731635
